,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果
1981,【绒里塑身衣】美人塑身加厚加绒收腹束腰连体保暖衣塑形减肚子提臀美体内衣YMS-4,女装,日用,内衣,"{'n': ['绒', '塑身衣', '人', '塑身', '收腹', '衣', '塑形', '肚子', '美体', '内衣'], 'f': ['里'], 'j': ['美'], 'nr': ['加厚', '加绒'], 'v': ['束腰', '保暖', '减', '提'], 'a': ['连体'], 'ng': ['臀'], 'eng': ['YMS4']}","['日用', '日用']",日用
1982,【肤色+黑色两件装】女士美体瘦身背心，一秒变成小蛮腰，显瘦10斤，告别小肚腩,女装,日用,背心,"{'n': ['肤色', '黑色', '女士', '美体', '瘦身', '背心', '腰', '小肚腩'], 'm': ['两件', '一秒', '10', '斤'], 'v': ['装', '变成', '告别'], 'nr': ['小蛮'], 'a': ['显瘦']}",['日用'],日用
1983,【蕾丝文胸套装】前扣文胸套装蕾丝无钢圈美背聚拢2018新品内衣女LZBNY-3,女装,日用,内衣,"{'n': ['蕾丝', '文胸', '套装', '前扣', '文胸', '套装', '蕾丝', '钢圈', '新品', '内衣', '女'], 'v': ['无', '背', '聚拢'], 'j': ['美'], 'm': ['2018'], 'eng': ['LZBNY3']}","['日用', '套装', '日用', '套装', '日用']",日用
1984,【薄款/加绒可选】2018蕾丝打底衫女中长款t恤长袖秋冬胖mm加绒加厚宽松大码上衣,女装,上衣,打底衫,"{'n': ['薄款', '加绒', '蕾丝', '打底衫', '中长款', '恤', '长袖', '胖', '大码', '上衣'], 'v': ['可选'], 'm': ['2018'], 'b': ['女'], 'eng': ['t', 'mm'], 't': ['秋冬'], 'nr': ['加绒', '加厚'], 'a': ['宽松']}","['上衣', '其它', '上衣']",上衣
1985,【薄款/加绒可选】打底衫中老年女装宽松大码冬长袖t恤上衣【DB】,女装,上衣,打底衫,"{'n': ['薄款', '加绒', '打底衫', '女装', '大码', '长袖', '恤', '上衣'], 'v': ['可选'], 'j': ['中老年'], 'a': ['宽松', 'DB'], 't': ['冬'], 'eng': ['t']}","['上衣', '其它', '上衣']",上衣
1986,【豹纹斑点袜3双】豹纹豹点斑点纯棉女士袜子长筒个性复古堆堆袜子LYMMWY-3,女装,日用,袜子,"{'n': ['豹纹', '斑点', '袜', '双', '豹纹', '豹点', '斑点', '纯棉', '女士', '袜子', '长筒', '个性', '堆堆袜'], 'm': ['3'], 'vn': ['复古'], 'nr': ['子'], 'eng': ['LYMMWY3']}","['日用', '日用']",日用
1987,【超柔黑绒】2018冬季加绒加厚外穿黑色修身显瘦光泽裤女f611,女装,裤子,光泽裤,"{'a': ['超柔', '显瘦'], 'n': ['黑绒', '黑色', '修身', '光泽裤', '女'], 'm': ['2018'], 't': ['冬季'], 'nr': ['加绒', '加厚'], 'f': ['外'], 'v': ['穿'], 'eng': ['f611']}",['裤子'],裤子
1988,【运动两件套】早春阔腿裤套装2019春季新款女韩版宽松大码时尚休闲运动两件套BMDF-4,女装,裤子,阔腿裤,"{'vn': ['运动', '运动'], 'n': ['两件套', '阔腿裤', '套装', '新款', '版', '大码', '时尚', '两件套'], 't': ['早春', '春季'], 'm': ['2019'], 'b': ['女'], 'j': ['韩'], 'a': ['宽松'], 'v': ['休闲'], 'eng': ['BMDF4']}","['套装', '裤子', '套装', '套装']",套装
1989,【运动两件套】早春阔腿裤套装2019春季新款女韩版宽松大码时尚休闲运动两件套BMDF-4 h626,女装,裤子,阔腿裤,"{'vn': ['运动', '运动'], 'n': ['两件套', '阔腿裤', '套装', '新款', '版', '大码', '时尚', '两件套'], 't': ['早春', '春季'], 'm': ['2019'], 'b': ['女'], 'j': ['韩'], 'a': ['宽松'], 'v': ['休闲'], 'eng': ['BMDF4h626']}","['套装', '裤子', '套装', '套装']",套装
1990,【运动套装】2019春季新款韩版宽松连帽休闲装卫衣两件套跑步服BMDF-4,女装,套装,套装,"{'n': ['运动套装', '新款', '连帽', '卫衣', '两件套', '跑步'], 'm': ['2019'], 't': ['春季'], 'nt': ['韩版'], 'a': ['宽松'], 'v': ['休闲装'], 'vn': ['服'], 'eng': ['BMDF4']}","['套装', '上衣', '套装']",套装
1991,【送加绒女袜】新款中长款打底短裙收腰显瘦A字裙绣花立领长袖连衣裙,女装,连衣裙,连衣裙,"{'v': ['送加', '收腰', '立领'], 'n': ['绒女', '袜', '新款', '打底', '短裙', 'A字裙', '绣花', '长袖', '连衣裙'], 'j': ['中长款'], 'a': ['显瘦']}","['其它', '裙子', '裙子', '其它', '连衣裙']",裙子
1992,【送加绒袜】冬装加绒加厚高贵打底衫高领女秋冬季保暖花上衣,女装,上衣,打底衫,"{'v': ['送加', '保暖', '花'], 'n': ['绒袜', '冬装', '打底衫', '高领', '上衣'], 'nr': ['加绒', '加厚'], 'a': ['高贵'], 'b': ['女'], 't': ['秋冬季']}","['上衣', '上衣']",上衣
1993,【送加绒袜子】冬季棉马甲秋冬装外套背心妈妈装民族风坎肩唐装大码马夹女装,女装,外套,外套,"{'v': ['送加', '装', '夹'], 'n': ['绒', '袜子', '棉', '马甲', '外套', '背心', '妈妈', '坎肩', '大码', '马', '女装'], 't': ['冬季'], 'nr': ['秋冬装', '唐装'], 'nz': ['民族风']}","['日用', '外套', '外套', '日用']",外套
1994,【送加绒袜子】秋冬加绒加厚背心马甲女妈妈装老年人大码坎肩外套女【DM】,女装,外套,外套,"{'v': ['送加', '装'], 'n': ['绒', '袜子', '背心', '马甲', '妈妈', '老年人', '大码', '坎肩', '外套'], 't': ['秋冬'], 'nr': ['加绒', '加厚'], 'b': ['女', '女'], 'ad': ['DM']}","['日用', '日用', '外套', '外套']",外套
1995,【送原版腰带】2018冬装半身裙女加厚羽绒棉裙A字裙中长款百搭修身大码一片式裙子,女装,裙子,半身裙,"{'v': ['送', '搭'], 'n': ['原版', '腰带', '冬装', '半身裙', '羽绒', '棉裙', 'A字裙', '修身', '大码', '裙子'], 'm': ['2018', '百', '一片'], 'b': ['女'], 'nr': ['加厚'], 'j': ['中长款'], 'k': ['式']}","['日用', '裙子', '裙子', '裙子']",裙子
1996,【送发热贴】束腰带收腹带产后塑身腰封收腰带束缚塑腰带透气腰夹魔术贴SSY,女装,日用,腰带,"{'v': ['送', '发热', '贴', '夹', '贴'], 'n': ['束腰带', '收腹带', '产后', '塑身', '腰', '收', '腰带', '塑', '腰带', '透气', '腰', '魔术'], 'q': ['封'], 'vn': ['束缚'], 'eng': ['SSY']}","['日用', '日用', '日用']",日用
1997,【送吊带】2019春装欧洲站时尚甜美雪纺衫钉珠气质显瘦长袖上衣h604,女装,上衣,雪纺衫,"{'v': ['送', '站'], 'n': ['吊带', '春装', '时尚', '雪纺衫', '钉珠', '气质', '长袖', '上衣'], 'm': ['2019'], 'ns': ['欧洲'], 'a': ['甜美', '显瘦'], 'eng': ['h604']}","['日用', '上衣', '其它', '上衣']",上衣
1998,【送围巾】2018秋冬季女士针织衫长袖打底衫毛衣半高领百搭短款新款套头,女装,上衣,打底衫,"{'v': ['送', '搭'], 'n': ['围巾', '女士', '针织衫', '长袖', '打底衫', '毛衣', '高领', '新款', '套头'], 'm': ['2018', '半', '百'], 't': ['秋冬季'], 'b': ['短款']}","['配饰', '上衣', '其它', '上衣', '上衣']",上衣
1999,【送围巾】2018秋冬高领毛衣女加绒加厚新款修身打底衫中长款针织衫套头保暖上衣,女装,上衣,打底衫,"{'v': ['送', '保暖'], 'n': ['围巾', '高领', '毛衣', '女加绒', '新款', '修身', '打底衫', '针织衫', '套头', '上衣'], 'm': ['2018'], 't': ['秋冬'], 'nr': ['加厚'], 'j': ['中长款']}","['配饰', '上衣', '上衣', '上衣', '上衣']",上衣
2000,【送围巾】2018秋冬高领毛衣女加绒加厚新款修身打底衫中长款针织衫套头保暖上衣z219,女装,上衣,打底衫,"{'v': ['送', '保暖'], 'n': ['围巾', '高领', '毛衣', '女加绒', '新款', '修身', '打底衫', '针织衫', '套头', '上衣'], 'm': ['2018'], 't': ['秋冬'], 'nr': ['加厚'], 'j': ['中长款'], 'eng': ['z219']}","['配饰', '上衣', '上衣', '上衣', '上衣']",上衣
2001,【送围巾】冬季毛衣女套头宽松中长款2018新款秋冬装加绒加厚韩版百搭打底衫,女装,上衣,打底衫,"{'v': ['送', '搭'], 'n': ['围巾', '毛衣', '套头', '新款', '版', '打底衫'], 't': ['冬季'], 'b': ['女'], 'a': ['宽松'], 'j': ['中长款', '韩'], 'm': ['2018', '百'], 'nr': ['秋冬装', '加绒', '加厚']}","['配饰', '上衣', '上衣']",上衣
2002,【送围巾】秋冬季半身裙女中长款厚冬裙新款秋冬毛呢a字摆裙高腰百褶长裙,女装,裙子,半身裙,"{'v': ['送', '摆'], 'n': ['围巾', '半身裙', '中长款', '冬裙', '新款', '毛呢', '字', '腰', '百褶', '长裙'], 't': ['秋冬季', '秋冬'], 'b': ['女'], 'a': ['厚', '高'], 'eng': ['a'], 'ng': ['裙']}","['配饰', '裙子', '裙子', '裙子']",裙子
2003,【送头巾】家居服套装新品睡衣女秋冬季套头甜美舒适套装冬天加厚韩版PNDF-4,女装,日用,睡衣,"{'v': ['送'], 'n': ['头巾', '家居服', '套装', '新品', '睡衣', '套头', '套装'], 'b': ['女'], 't': ['秋冬季', '冬天'], 'a': ['甜美', '舒适'], 'nr': ['加厚'], 'nt': ['韩版'], 'eng': ['PNDF4']}","['日用', '套装', '日用', '套装']",套装
2004,【送打底裤】冬天外套女2018新款棉衣短款韩版棉服百搭修身小棉袄冬装z271,女装,裤子,打底裤,"{'v': ['送', '搭'], 'n': ['打底裤', '外套', '女', '新款', '棉衣', '棉服', '修身', '棉袄', '冬装'], 't': ['冬天'], 'm': ['2018', '百'], 'b': ['短款'], 'nt': ['韩版'], 'a': ['小'], 'eng': ['z271']}","['裤子', '外套', '外套', '外套', '外套']",外套
2005,【送打底裤】冬天外套女2018新款棉衣短款韩版轻薄羽绒棉服百搭修身小棉袄冬装,女装,裤子,打底裤,"{'v': ['送', '搭'], 'n': ['打底裤', '外套', '女', '新款', '棉衣', '羽绒', '棉服', '修身', '棉袄', '冬装'], 't': ['冬天'], 'm': ['2018', '百'], 'b': ['短款'], 'nt': ['韩版'], 'a': ['轻薄', '小']}","['裤子', '外套', '外套', '外套', '外套']",外套
2006,【送打底裤】冬天外套女2018新款棉衣短款韩版轻薄羽绒棉服百搭修身小棉袄冬装z271,女装,裤子,打底裤,"{'v': ['送', '搭'], 'n': ['打底裤', '外套', '女', '新款', '棉衣', '羽绒', '棉服', '修身', '棉袄', '冬装'], 't': ['冬天'], 'm': ['2018', '百'], 'b': ['短款'], 'nt': ['韩版'], 'a': ['轻薄', '小'], 'eng': ['z271']}","['裤子', '外套', '外套', '外套', '外套']",外套
2007,【送打底裤】加绒蕾丝衫雪立领长袖套头修身2018年蕾丝镂空韩版潮流时尚,女装,裤子,打底裤,"{'v': ['送', '立领'], 'n': ['打底裤', '蕾丝衫', '雪', '长袖', '套头', '修身', '蕾丝', '潮流', '时尚'], 'nr': ['加绒'], 'm': ['2018', '年'], 'vn': ['镂空'], 'nt': ['韩版']}","['裤子', '上衣', '其它']",其它
2008,【送护手霜】2018新款大码女装修身长款加厚连帽棉防寒服,女装,外套,防寒服,"{'v': ['送', '装修'], 'nz': ['护手霜'], 'm': ['2018', '款'], 'n': ['新款', '大码', '女', '身长', '连帽', '棉', '防寒服'], 'nr': ['加厚']}",['外套'],外套
2009,【送梳子】2018秋冬新款女装针织打底衫大码中长款毛衣打底裙宽松显瘦连衣裙,女装,连衣裙,连衣裙,"{'v': ['送'], 'n': ['梳子', '新款', '女装', '针织', '打底衫', '大码', '长款', '毛衣', '打底裙', '连衣裙'], 'm': ['2018'], 't': ['秋冬'], 'f': ['中'], 'a': ['宽松', '显瘦']}","['上衣', '上衣', '连衣裙', '连衣裙']",连衣裙
2010,【送梳子】2018秋冬新款时尚收腰显瘦针织连衣裙中长款过膝打底毛衣裙,女装,连衣裙,连衣裙,"{'v': ['送', '收腰', '过膝'], 'n': ['梳子', '新款', '时尚', '针织', '连衣裙', '打底', '衣裙'], 'm': ['2018'], 't': ['秋冬'], 'a': ['显瘦'], 'j': ['中长款'], 'nr': ['毛']}","['连衣裙', '其它']",其它
2011,【送梳子】2018秋冬新款高领长袖提花针织连衣裙中长款过膝打底毛衣裙,女装,连衣裙,连衣裙,"{'v': ['送', '提花', '过膝'], 'n': ['梳子', '新款', '高领', '长袖', '针织', '连衣裙', '打底', '衣裙'], 'm': ['2018'], 't': ['秋冬'], 'j': ['中长款'], 'nr': ['毛']}","['其它', '连衣裙', '其它']",其它
2012,【送棉袜】2018新款时尚收腰港风大摆针织过膝加厚打底毛衣连衣裙,女装,连衣裙,连衣裙,"{'v': ['送', '收腰', '摆', '过膝'], 'n': ['棉袜', '新款', '时尚', '港风', '针织', '打底', '毛衣', '连衣裙'], 'm': ['2018'], 'a': ['大'], 'nr': ['加厚']}","['其它', '上衣', '连衣裙']",连衣裙
2013,【送皮手套】加厚气质优雅2018新款胖妹妹连衣裙大码女,女装,连衣裙,连衣裙,"{'v': ['送'], 'n': ['皮手套', '气质', '新款', '妹妹', '连衣裙', '大码', '女'], 'nr': ['加厚'], 'a': ['优雅', '胖'], 'm': ['2018']}",['连衣裙'],连衣裙
2014,【送皮手套】加绒加厚2018秋冬新款女长袖韩版连帽卫衣外套头上衣,女装,外套,外套,"{'v': ['送'], 'n': ['皮手套', '新款', '长袖', '版', '帽', '卫衣', '外套', '头', '上衣'], 'nr': ['加绒', '加厚'], 'm': ['2018'], 't': ['秋冬'], 'b': ['女'], 'j': ['韩'], 'u': ['连']}","['其它', '日用', '上衣', '外套', '上衣']",上衣
2015,【送眼罩】5款可选睡袍套装女睡衣女春秋季甜美家居服长袖长裤两件套,女装,日用,睡袍,"{'v': ['送', '可选'], 'n': ['眼罩', '睡袍', '套装', '女睡衣', '家居服', '长袖', '长裤', '两件套'], 'm': ['5', '款'], 'b': ['女'], 't': ['春秋季'], 'a': ['甜美']}","['日用', '套装', '日用', '其它', '裤子', '套装']",套装
2016,【送眼罩】9款可选牛奶丝绸韩版甜美两件套家居服套装,女装,套装,套装,"{'v': ['送', '可选'], 'n': ['眼罩', '牛奶', '丝绸', '两件套', '家居服', '套装'], 'm': ['9', '款'], 'nt': ['韩版'], 'a': ['甜美']}","['套装', '日用', '套装']",套装
2017,【送眼镜盒】夏季必备2018新款修脸欧美时尚个性旅游街拍百搭潮女大框太阳镜,女装,配饰,太阳镜,"{'v': ['送', '必备', '修脸', '拍', '搭'], 'n': ['眼镜盒', '新款', '时尚', '个性', '街', '潮', '大框', '太阳镜'], 't': ['夏季'], 'm': ['2018', '百'], 'ns': ['欧美'], 'vn': ['旅游'], 'b': ['女']}",['配饰'],配饰
2018,【送精品棉袜】2018秋冬装新款韩版半高领毛衣女打底宽松套头长袖麻花针织衫,女装,上衣,针织衫,"{'v': ['送'], 'n': ['精品', '棉袜', '新款', '高领', '毛衣', '打底', '套头', '长袖', '麻花', '针织衫'], 'm': ['2018'], 'nr': ['秋冬装'], 'ns': ['韩版半'], 'b': ['女'], 'a': ['宽松']}","['上衣', '其它', '其它', '上衣']",其它
2019,【送精美围巾】加绒加厚一体打底裙裤2018新款秋冬季保暖显瘦高腰包臀格子裙裤假两件,女装,连衣裙,打底裙,"{'v': ['送', '保暖', '显'], 'a': ['精美', '瘦高'], 'n': ['围巾', '一体', '打底裙', '裤', '新款', '腰包', '臀', '裤假'], 'nr': ['加绒', '加厚', '格子裙'], 'm': ['2018', '两件'], 't': ['秋冬季']}","['配饰', '连衣裙', '裤子']",裤子
2020,【送精美胸针】仿貂绒大衣冬天毛呢外套大码长毛绒新品时尚冬装潮,女装,外套,大衣,"{'v': ['送', '仿'], 'a': ['精美'], 'n': ['胸针', '貂', '绒', '大衣', '毛呢', '外套', '大码', '长毛绒', '新品', '时尚', '冬装', '潮'], 't': ['冬天']}","['外套', '外套']",外套
2021,【送纯棉袜】加绒衬衫女长袖保暖冬2018新款弹力缎面上衣女秋冬装加绒加厚衬衣A134,女装,上衣,衬衫,"{'v': ['送', '保暖'], 'n': ['纯棉', '袜加绒', '衬衫', '长袖', '新款', '弹力', '缎面', '上衣', '衬衣'], 'b': ['女', '女'], 't': ['冬'], 'm': ['2018'], 'nr': ['秋冬装', '加绒', '加厚'], 'eng': ['A134']}","['上衣', '其它', '上衣', '上衣']",上衣
2022,【送腰带】2019新款女春装名媛气质修身显瘦正式场合黑色性感职业西装连衣裙【DB】,女装,连衣裙,连衣裙,"{'v': ['送'], 'n': ['腰带', '新款', '春装', '气质', '修身', '场合', '黑色', '性感', '职业', '西装', '连衣裙'], 'm': ['2019'], 'b': ['女'], 'nr': ['名媛'], 'a': ['显瘦', 'DB'], 'ad': ['正式']}","['日用', '外套', '连衣裙']",连衣裙
2023,【送腰带】2019新款女春装名媛气质修身显瘦正式场合黑色性感职业西装连衣裙【DB】h851,女装,连衣裙,连衣裙,"{'v': ['送'], 'n': ['腰带', '新款', '春装', '气质', '修身', '场合', '黑色', '性感', '职业', '西装', '连衣裙'], 'm': ['2019'], 'b': ['女'], 'nr': ['名媛'], 'a': ['显瘦', 'DB'], 'ad': ['正式'], 'eng': ['h851']}","['日用', '外套', '连衣裙']",连衣裙
2024,【送腰带】2019春季新款红色格子大码女装连衣裙胖mm大摆裙【DM】,女装,连衣裙,连衣裙,"{'v': ['送', '摆'], 'n': ['腰带', '新款', '红色', '格子', '大码', '女装', '连衣裙', '胖'], 'm': ['2019'], 't': ['春季'], 'eng': ['mm'], 'a': ['大'], 'ng': ['裙'], 'ad': ['DM']}","['日用', '连衣裙', '裙子']",裙子
2025,【送腰带】2019春秋新款女装OL职业中长款连衣裙包臀长袖连衣裙,女装,连衣裙,连衣裙,"{'v': ['送', '包'], 'n': ['腰带', '新款', '女装', '职业', '连衣裙', '长袖', '连衣裙'], 'm': ['2019'], 't': ['春秋'], 'eng': ['OL'], 'j': ['中长款'], 'ng': ['臀']}","['日用', '连衣裙', '其它', '连衣裙']",连衣裙
2026,【送腰带】2019春装新款时尚网纱立领长袖上衣+马甲开叉连衣裙【DB】f351,女装,连衣裙,连衣裙,"{'v': ['送', '立领', '开叉'], 'n': ['腰带', '春装', '新款', '长袖', '上衣', '马甲', '连衣裙'], 'm': ['2019'], 'nr': ['时尚网'], 'zg': ['纱'], 'a': ['DB'], 'eng': ['f351']}","['日用', '其它', '上衣', '外套', '连衣裙']",连衣裙
2027,【送腰带】新款皮短裤靴裤外穿打底裤PU皮裤大码女裤【DB】h654,女装,裤子,短裤,"{'v': ['送', '穿'], 'n': ['腰带', '新款', '皮', '短裤', '靴裤', '打底裤', '皮裤', '大码', '女裤'], 'f': ['外'], 'eng': ['PU', 'h654'], 'a': ['DB']}","['日用', '裤子', '裤子', '裤子']",裤子
2028,【送袜子】2018新款时尚修身显瘦高腰a字蓬蓬毛呢百褶裙,女装,日用,袜子,"{'v': ['送', '显'], 'n': ['袜子', '新款', '时尚', '修身', '腰', '字', '毛呢', '百褶裙'], 'm': ['2018'], 'a': ['瘦高'], 'eng': ['a'], 'ns': ['蓬蓬']}","['日用', '裙子']",裙子
2029,【送袜子】毛毛的单鞋女秋季2018新款韩版学生百搭厚底一脚蹬毛毛鞋,女装,日用,袜子,"{'v': ['送', '搭'], 'n': ['袜子', '单鞋', '新款', '学生', '脚蹬', '鞋'], 'nr': ['毛毛', '毛毛'], 'uj': ['的'], 'b': ['女'], 't': ['秋季'], 'm': ['2018', '百', '一'], 'nt': ['韩版'], 'a': ['厚'], 'f': ['底']}","['日用', '鞋', '鞋']",鞋
2030,【送袜子】黑色牛仔裤女秋2018新款韩版显瘦高腰冬季加绒加厚保暖小脚长裤潮,女装,裤子,牛仔裤,"{'v': ['送', '显', '保暖'], 'n': ['袜子', '黑色', '牛仔裤', '女秋', '新款', '版', '腰', '小脚', '长裤', '潮'], 'm': ['2018'], 'j': ['韩'], 'a': ['瘦高'], 't': ['冬季'], 'nr': ['加绒', '加厚']}","['日用', '裤子', '裤子', '裤子']",裤子
2031,【送配饰】加绒加厚蕾丝打底衫女2018秋冬女装新款蕾丝衫女高领保暖蕾丝打底衫【DB】,女装,上衣,打底衫,"{'v': ['送', '配饰', '保暖'], 'nr': ['加绒', '加厚'], 'n': ['蕾丝', '打底衫', '女', '女装', '新款', '蕾丝衫', '高领', '蕾丝', '打底衫'], 'm': ['2018'], 't': ['秋冬'], 'b': ['女'], 'a': ['DB']}","['链表', '上衣', '上衣', '上衣']",上衣
2032,【送配饰】新款复古旗袍式毛领高贵冬装加绒打底裙端庄大气连衣裙,女装,连衣裙,连衣裙,"{'v': ['送', '配饰'], 'n': ['新款', '旗袍', '冬装', '打底裙', '大气', '连衣裙'], 'vn': ['复古'], 'k': ['式'], 'nr': ['毛领', '加绒'], 'a': ['高贵'], 'ns': ['端庄']}","['链表', '连衣裙', '连衣裙', '连衣裙']",连衣裙
2033,【送防走光裤】女装加厚中国风外套风衣单排扣长袖款中长民族风盘扣2018秋冬装新f880,女装,外套,风衣,"{'v': ['送', '扣', '扣'], 'n': ['防走光', '裤', '女装', '风', '外套', '风衣', '单排', '长袖', '中长'], 'nr': ['加厚', '秋冬装'], 'ns': ['中国'], 'm': ['款', '2018'], 'nz': ['民族风'], 'q': ['盘'], 'a': ['新'], 'eng': ['f880']}","['裤子', '外套', '外套', '其它']",外套
2034,【送防走光裤】女装加厚中国风外套风衣单排扣长袖款中长民族风盘扣2018秋冬装新h345,女装,外套,风衣,"{'v': ['送', '扣', '扣'], 'n': ['防走光', '裤', '女装', '风', '外套', '风衣', '单排', '长袖', '中长'], 'nr': ['加厚', '秋冬装'], 'ns': ['中国'], 'm': ['款', '2018'], 'nz': ['民族风'], 'q': ['盘'], 'a': ['新'], 'eng': ['h345']}","['裤子', '外套', '外套', '其它']",外套
2035,【送防走光裤】秋冬装金丝绒长袖改良旗袍连衣裙中老年妈妈装2018新款中年加绒裙子,女装,连衣裙,连衣裙,"{'v': ['送', '改良'], 'n': ['防走光', '裤', '长袖', '旗袍', '连衣裙', '妈妈', '装', '新款', '裙子'], 'nr': ['秋冬装', '金丝绒', '加绒'], 'j': ['中老年'], 'm': ['2018'], 't': ['中年']}","['裤子', '其它', '连衣裙', '连衣裙', '裙子']",连衣裙
2036,【送项链+袜子】秋冬长袖加绒加厚打底衫中年人妈妈装中长款保暖连衣裙,女装,连衣裙,连衣裙,"{'v': ['送', '装中', '保暖'], 'n': ['项链', '袜子', '长袖', '打底衫', '中年人', '妈妈', '长款', '连衣裙'], 't': ['秋冬'], 'nr': ['加绒', '加厚']}","['日用', '其它', '上衣', '连衣裙']",连衣裙
2037,【送项链】2018冬季新款针织拼接格纹毛呢连衣裙z281,女装,连衣裙,连衣裙,"{'v': ['送', '拼接'], 'n': ['项链', '新款', '针织', '毛呢', '连衣裙'], 'm': ['2018'], 't': ['冬季'], 'nr': ['格纹'], 'eng': ['z281']}",['连衣裙'],连衣裙
2038,【透气型】洞洞杯一片式镂空透气内衣无钢圈聚拢薄款文胸女套装,女装,日用,内衣,"{'n': ['透气', '洞洞', '透气', '内衣', '钢圈', '薄款', '文胸', '女套装'], 'k': ['型', '式'], 'q': ['杯'], 'm': ['一片'], 'vn': ['镂空'], 'v': ['无', '聚拢']}","['日用', '日用']",日用
2039,【都市优雅】雪纺衬衫2019春装新款女装韩范宽松长袖衬衣,女装,上衣,衬衫,"{'ns': ['都市'], 'a': ['优雅', '宽松'], 'nz': ['雪纺'], 'n': ['衬衫', '春装', '新款', '女装', '长袖', '衬衣'], 'm': ['2019'], 'nr': ['韩范']}","['上衣', '其它', '上衣']",上衣
2040,【都市优雅】雪纺衬衫2019春装新款女装韩范宽松长袖衬衣h109,女装,上衣,衬衫,"{'ns': ['都市'], 'a': ['优雅', '宽松'], 'nz': ['雪纺'], 'n': ['衬衫', '春装', '新款', '女装', '长袖', '衬衣'], 'm': ['2019'], 'nr': ['韩范'], 'eng': ['h109']}","['上衣', '其它', '上衣']",上衣
2041,【配不可拆卸高仿毛领】棉服女中长款2018新款外套女韩版宽松学生面包服连帽大毛领棉袄f403,女装,外套,棉服,"{'v': ['配不', '可拆卸', '领'], 'a': ['高', '宽松'], 'n': ['仿毛', '棉服', '中长款', '新款', '外套', '版', '学生', '面包', '服连帽', '大', '棉袄'], 'b': ['女', '女'], 'm': ['2018'], 'j': ['韩'], 'nr': ['毛领'], 'eng': ['f403']}","['外套', '外套', '外套']",外套
2042,【配可拆卸毛领】女装棉服PU皮棉衣妈妈冬装棉袄中长款加厚外套【DB】【DM】f905,女装,外套,棉服,"{'v': ['配', '可拆卸'], 'nr': ['毛领', '加厚'], 'n': ['女装', '棉服', '皮', '棉衣', '妈妈', '冬装', '棉袄', '外套'], 'eng': ['PU', 'f905'], 'j': ['中长款'], 'a': ['DB'], 'ad': ['DM']}","['外套', '外套', '外套', '外套']",外套
2043,【配可拆卸真毛领】羽绒服女2018新款韩版中长款过膝貉子毛领加厚白鸭绒时尚修身羽绒衣c113,女装,外套,羽绒服,"{'v': ['配', '可拆卸', '过膝'], 'd': ['真'], 'nr': ['毛领', '毛领', '加厚'], 'n': ['羽绒服', '女', '新款', '版', '长款', '貉子', '鸭绒', '时尚', '修身', '羽绒衣'], 'm': ['2018'], 'j': ['韩'], 'f': ['中'], 'a': ['白'], 'eng': ['c113']}",['外套'],外套
2044,【配可拆卸真狐狸毛领】白鸭绒羽绒服女2018新款韩版大码中长款过膝刺绣小蜜蜂狐狸毛大毛领z236,女装,外套,羽绒服,"{'v': ['配', '可拆卸', '过膝'], 'd': ['真'], 'n': ['狐狸', '鸭绒', '羽绒服', '女', '新款', '版', '大码', '长款', '刺绣', '狐狸'], 'nr': ['毛领', '小蜜蜂', '毛大', '毛领'], 'a': ['白'], 'm': ['2018'], 'j': ['韩'], 'f': ['中'], 'eng': ['z236']}",['外套'],外套
2045,【配可拆卸高仿毛领】女装冬装外套加厚中长款棉衣蕾丝大码妈妈装棉袄【DB】【DM】,女装,外套,棉衣,"{'v': ['配', '可拆卸', '领', '装'], 'a': ['高', 'DB'], 'n': ['仿毛', '女装', '冬装', '外套', '棉衣', '蕾丝', '大码', '妈妈', '棉袄'], 'nr': ['加厚'], 'j': ['中长款'], 'ad': ['DM']}","['外套', '外套', '外套']",外套
2046,【配可拆卸高仿毛领】棉服时尚气质百搭优雅连帽韩版时尚2018冬季长袖,女装,外套,棉服,"{'v': ['配', '可拆卸', '领', '搭'], 'a': ['高', '优雅'], 'n': ['仿毛', '棉服', '时尚', '气质', '连帽', '时尚', '长袖'], 'm': ['百', '2018'], 'nt': ['韩版'], 't': ['冬季']}","['外套', '其它']",其它
2047,【配可拆卸高仿毛领】棉服时尚气质百搭优雅连帽韩版时尚2018冬季长袖z255,女装,外套,棉服,"{'v': ['配', '可拆卸', '领', '搭'], 'a': ['高', '优雅'], 'n': ['仿毛', '棉服', '时尚', '气质', '连帽', '时尚', '长袖'], 'm': ['百', '2018'], 'nt': ['韩版'], 't': ['冬季'], 'eng': ['z255']}","['外套', '其它']",其它
2048,【配可拆卸高仿毛领】棉袄女装2018新款冬季外套chic迷彩棉服中长款棉衣面包服潮大毛领【DB】c212,女装,外套,棉服,"{'v': ['配', '可拆卸', '领'], 'a': ['高', '迷彩', 'DB'], 'n': ['仿毛', '棉袄', '女装', '新款', '外套', '棉服', '棉衣', '面包', '服潮', '大'], 'm': ['2018'], 't': ['冬季'], 'eng': ['chic', 'c212'], 'j': ['中长款'], 'nr': ['毛领']}","['外套', '外套', '外套', '外套']",外套
