,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果,特征
3077,加绒加厚2018秋冬新款中长款气质A字裙打底小黑裙长袖黑色连衣裙,女装,连衣裙,连衣裙,"{'nr': ['加绒', '加厚', '小黑裙', '连衣裙'], 'm': ['2018'], 't': ['秋冬'], 'n': ['新款', '气质', '字', '长袖', '黑色'], 'j': ['中长款'], 'eng': ['A'], 'ng': ['裙'], 'v': ['打底']}",[],,小黑裙加绒中长款
3078,加绒加厚2018秋冬新款保暖蕾丝大码女装连衣裙长袖宽松打底,女装,连衣裙,连衣裙,"{'nr': ['加绒', '加厚', '连衣裙'], 'm': ['2018'], 't': ['秋冬'], 'n': ['新款', '蕾丝', '大码', '女装', '长袖'], 'v': ['保暖', '打底'], 'a': ['宽松']}",[],,加绒蕾丝大码
3079,加绒加厚2018秋冬新款蕾丝长袖女装加绒半高领打底衫体恤,女装,上衣,打底衫,"{'nr': ['加绒', '加厚', '加绒'], 'm': ['2018', '半'], 't': ['秋冬'], 'n': ['新款', '蕾丝', '长袖', '女装', '高领'], 'v': ['打底', '体恤'], 'ng': ['衫']}",[],,加绒蕾丝高领
3080,加绒加厚PU皮打底衫女长袖秋冬2018新款冬季性感拼接外穿蕾丝上衣,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'eng': ['PU'], 'n': ['皮', '女', '长袖', '新款', '性感', '蕾丝', '上衣'], 'v': ['打底', '拼接', '穿'], 'ng': ['衫'], 't': ['秋冬', '冬季'], 'm': ['2018'], 'f': ['外']}",[],,外穿加绒PU
3081,加绒加厚中长款皮衣2018冬款中老年毛领冬季皮外套冬季新款中年妈妈装A125,女装,外套,外套,"{'nr': ['加绒', '加厚', '毛领'], 'j': ['中长款', '中老年'], 'n': ['皮衣', '冬款', '皮', '外套', '新款', '妈妈', '装'], 'm': ['2018'], 't': ['冬季', '冬季', '中年'], 'eng': ['A125']}",[],,冬季毛领加绒
3082,加绒加厚休闲裤女保暖长裤子烫钻超柔2018,女装,裤子,长裤,"{'nr': ['加绒', '加厚'], 'n': ['休闲裤', '裤子'], 'b': ['女'], 'v': ['保暖', '烫', '钻'], 'a': ['长', '超柔'], 'm': ['2018']}",[],,加绒休闲裤超柔
3083,加绒加厚保暖大码上衣网纱打底衫蕾丝衫新款,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'v': ['保暖', '打底'], 'n': ['大码', '上衣', '网纱', '蕾丝', '新款'], 'ng': ['衫', '衫']}",[],,加绒大码网纱
3084,加绒加厚保暖大码修身碎花上衣秋冬装百搭翻领打底女长袖女蕾丝衫,女装,上衣,上衣,"{'nr': ['加绒', '加厚', '秋冬装'], 'v': ['保暖', '修身', '搭', '翻领', '打底'], 'n': ['大码', '碎花', '上衣', '长袖', '蕾丝'], 'm': ['百'], 'b': ['女', '女'], 'ng': ['衫']}",[],,秋冬装加绒大码
3085,加绒加厚假透肉打底裤踩脚透肤防勾丝袜外穿一体无缝裤YWZL-2,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 'n': ['假透肉', '底裤', '脚透肤', '丝袜', '一体', '无缝', '裤'], 'v': ['打', '踩', '防', '勾', '穿'], 'f': ['外'], 'eng': ['YWZL2']}","['丝袜:', '色情']",色情,外穿加绒假透肉
3086,加绒加厚冬季护腰棉裤保暖裤冬季打底裤加肥高腰保暖裤【DM】【DB】,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 't': ['冬季', '冬季'], 'v': ['护腰', '保暖', '打', '保暖'], 'n': ['棉裤', '裤', '底裤', '腰', '裤'], 'ns': ['加肥'], 'a': ['高'], 'eng': ['DMDB']}",[],,保暖冬季加绒
3087,加绒加厚冬季新款胖MM加肥加大码显瘦遮肚烫钻蕾丝拼打底,女装,其它,打底,"{'nr': ['加绒', '加厚'], 't': ['冬季'], 'n': ['新款', '胖', '蕾丝'], 'eng': ['MM'], 'ns': ['加肥'], 'v': ['加大', '码', '遮肚', '烫', '钻', '拼', '打底'], 'a': ['显瘦']}",[],,加绒MM加肥
3088,加绒加厚印花高领连衣裙女冬装2018新款女装宽松版打底A字中裙子,女装,连衣裙,连衣裙,"{'nr': ['加绒', '加厚', '连衣裙'], 'n': ['印花', '高领', '冬装', '新款', '女装', '版', '字', '裙子'], 'b': ['女'], 'm': ['2018'], 'a': ['宽松'], 'v': ['打底'], 'eng': ['A'], 'f': ['中']}",[],,加绒高领打底
3089,加绒加厚双口袋打底裤女外穿高腰锦纶光泽裤修身弹力小脚裤e121,女装,裤子,小脚裤,"{'nr': ['加绒', '加厚'], 'n': ['双', '口袋', '底裤', '腰', '锦纶', '光泽', '裤', '弹力', '小脚', '裤'], 'v': ['打', '穿', '修身'], 'b': ['女'], 'f': ['外'], 'a': ['高'], 'eng': ['e121']}",[],,加绒女外底裤
3090,加绒加厚哈伦裤女2018秋冬长裤大码胖mm宽松显瘦女裤子c207,女装,裤子,哈伦裤,"{'nr': ['加绒', '加厚'], 'nrt': ['哈伦'], 'n': ['裤女', '长裤', '大码', '胖', '女', '裤子'], 'm': ['2018'], 't': ['秋冬'], 'eng': ['mm', 'c207'], 'a': ['宽松', '显瘦']}",[],,加绒裤女大码
3091,加绒加厚大码女装胖MM保暖袖子也加绒2018修身显瘦烫钻长袖连衣裙【DM】,女装,连衣裙,连衣裙,"{'nr': ['加绒', '加厚', '连衣裙'], 'n': ['大码', '女装', '胖', '袖子', '绒', '长袖'], 'eng': ['MM', 'DM'], 'v': ['保暖', '加', '修身', '显', '钻'], 'd': ['也'], 'm': ['2018'], 'z': ['瘦烫']}",[],,加绒大码MM
3092,加绒加厚大码女裤直筒高腰秋冬装妈妈长裤中老年女裤,女装,裤子,女裤,"{'nr': ['加绒', '加厚', '秋冬装'], 'n': ['大码', '女裤', '直筒', '腰', '妈妈', '长裤', '女裤'], 'a': ['高'], 'j': ['中老年']}",[],,女裤秋冬装加绒
3093,加绒加厚女卫衣2018秋冬装新款宽松韩版大码中长款时尚印花长袖连帽休闲百搭外套,女装,外套,外套,"{'nr': ['加绒', '加厚', '秋冬装'], 'n': ['女卫衣', '新款', '版', '大码', '长款', '时尚', '印花', '长袖', '连帽', '外套'], 'm': ['2018', '百'], 'a': ['宽松'], 'j': ['韩'], 'f': ['中'], 'v': ['休闲', '搭']}",[],,秋冬装加绒女卫衣
3094,加绒加厚妈妈裤烫钻大码休闲女裤冬季中老年长裤女加肥【DM】,女装,裤子,女裤,"{'nr': ['加绒', '加厚'], 'n': ['妈妈', '大码', '女裤', '长裤', '女加肥'], 'ng': ['裤'], 'v': ['烫', '钻', '休闲'], 't': ['冬季'], 'j': ['中老年'], 'eng': ['DM']}",[],,加绒裤烫钻大码
3095,加绒加厚小脚哈伦裤2018新款松紧腰高腰休闲裤萝卜裤女,女装,裤子,哈伦裤,"{'nr': ['加绒', '加厚'], 'n': ['小脚', '裤', '新款', '腰', '腰', '休闲裤', '萝卜', '裤女'], 'nrt': ['哈伦'], 'm': ['2018'], 'a': ['松紧', '高']}",[],,加绒腰高腰休闲裤
3096,加绒加厚弹力光泽裤紧身裤显瘦踩脚外穿打底裤,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 'n': ['弹力', '光泽', '裤', '紧身裤', '脚', '底裤'], 'a': ['显瘦'], 'v': ['踩', '穿', '打'], 'f': ['外']}",[],,加绒紧身裤显瘦
3097,加绒加厚御寒保暖冲锋衣棉衣万能衣男女情侣款防水户外,女装,外套,棉衣,"{'nr': ['加绒', '加厚'], 'b': ['御寒'], 'v': ['保暖', '防水'], 'n': ['冲锋衣', '棉衣', '衣', '男女', '情侣'], 'nz': ['万能'], 'm': ['款'], 's': ['户外']}",[],,冲锋衣加绒加厚
3098,加绒加厚御寒保暖冲锋衣棉衣万能衣男女情侣款防水户外g363,女装,外套,棉衣,"{'nr': ['加绒', '加厚'], 'b': ['御寒'], 'v': ['保暖', '防水'], 'n': ['冲锋衣', '棉衣', '衣', '男女', '情侣'], 'nz': ['万能'], 'm': ['款'], 's': ['户外'], 'eng': ['g363']}",[],,冲锋衣加绒加厚
3099,加绒加厚御寒保暖冲锋衣棉衣万能衣男女情侣款防水户外h498,女装,外套,棉衣,"{'nr': ['加绒', '加厚'], 'b': ['御寒'], 'v': ['保暖', '防水'], 'n': ['冲锋衣', '棉衣', '衣', '男女', '情侣'], 'nz': ['万能'], 'm': ['款'], 's': ['户外'], 'eng': ['h498']}",[],,冲锋衣加绒加厚
3100,加绒加厚打底上衣2018冬修身韩版女装长袖条纹打底衬衫,女装,上衣,衬衫,"{'nr': ['加绒', '加厚'], 'v': ['打底', '修身', '打底'], 'n': ['上衣', '女装', '长袖', '条纹', '衬衫'], 'm': ['2018'], 't': ['冬'], 'nt': ['韩版']}",[],,打底加绒韩版
3101,加绒加厚打底衫女2018新款冬季保暖上衣长袖秋天衣服蕾丝T恤,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'v': ['打底', '保暖'], 'ng': ['衫'], 'n': ['女', '新款', '上衣', '长袖', '衣服', '蕾丝', 'T恤'], 'm': ['2018'], 't': ['冬季', '秋天']}",[],,加绒蕾丝T恤
3102,加绒加厚打底衫女2019春新款仿兔毛高领百搭蕾丝衫长袖保暖上衣蕾丝打底衫女【DB】g271,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'v': ['打底', '搭', '保暖', '打底'], 'ng': ['衫', '衫', '衫'], 'n': ['女', '新款', '兔毛', '高领', '蕾丝', '长袖', '上衣', '蕾丝', '女'], 'm': ['2019', '百'], 't': ['春'], 'd': ['仿'], 'eng': ['DBg271']}",[],,蕾丝打底加绒
3103,加绒加厚打底衫女冬季保暖内衣女上衣宫廷蕾丝打底衫紧身秋衣女士蕾丝衫【DB】f745,女装,日用,保暖内衣,"{'nr': ['加绒', '加厚'], 'v': ['打底', '保暖', '打底', '紧身'], 'ng': ['衫', '衫', '衫'], 'n': ['女', '内衣', '女上衣', '宫廷', '蕾丝', '秋衣', '女士', '蕾丝'], 't': ['冬季'], 'eng': ['DBf745']}",[],,蕾丝打底秋衣
3104,加绒加厚打底衫女欧货新款潮秋冬时尚金丝绒双面绒半高领修身长袖t恤【DB】,女装,上衣,打底衫,"{'nr': ['加绒', '加厚', '金丝绒'], 'v': ['打底', '修身'], 'ng': ['衫'], 'b': ['女'], 'n': ['欧货', '新款', '潮', '时尚', '双面绒', '高领', '长袖', '恤'], 't': ['秋冬'], 'm': ['半'], 'eng': ['t', 'DB']}",[],,金丝绒加绒欧货
3105,加绒加厚打底衫女秋冬长袖印花修身蕾丝上衣T恤保暖网纱小衫女【DM】z229,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'v': ['打底', '修身', '保暖'], 'ng': ['衫'], 'n': ['女', '长袖', '印花', '蕾丝', '上衣', 'T恤', '网纱', '小衫', '女'], 't': ['秋冬'], 'eng': ['DMz229']}",[],,加绒蕾丝T恤
3106,加绒加厚打底衫女长袖2018新款秋冬内搭时尚保暖小衫蕾丝上衣显瘦,女装,上衣,打底衫,"{'nr': ['加绒', '加厚', '小衫'], 'v': ['打底', '搭', '保暖'], 'ng': ['衫'], 'n': ['女', '长袖', '新款', '时尚', '蕾丝', '上衣'], 'm': ['2018'], 't': ['秋冬'], 'f': ['内'], 'a': ['显瘦']}",[],,加绒小衫蕾丝
3107,加绒加厚打底衫女长袖秋冬2018新款冬季时尚立领小衫性感T恤上衣,女装,上衣,打底衫,"{'nr': ['加绒', '加厚', '小衫'], 'v': ['打底', '立领'], 'ng': ['衫'], 'n': ['女', '长袖', '新款', '时尚', '性感', 'T恤', '上衣'], 't': ['秋冬', '冬季'], 'm': ['2018']}",[],,立领加绒小衫
3108,加绒加厚打底裤女外穿光腿神器加肥加大码一体,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 'v': ['打', '穿', '加大'], 'n': ['底裤', '光', '腿', '神器', '码', '一体'], 'b': ['女'], 'f': ['外'], 'ns': ['加肥']}",[],,加绒女外穿光
3109,加绒加厚打底裤女外穿棉裤2018秋冬新款加绒加厚黑色高腰显瘦小脚铅笔裤子,女装,裤子,铅笔裤,"{'nr': ['加绒', '加厚', '加绒', '加厚'], 'v': ['打', '穿', '显'], 'n': ['底裤', '棉裤', '新款', '黑色', '腰', '脚', '铅笔', '裤子'], 'b': ['女'], 'f': ['外'], 'm': ['2018'], 't': ['秋冬'], 'a': ['高'], 'z': ['瘦小']}",[],,加绒加厚女外
3110,加绒加厚打底裤子秋冬长裤中老年女裤高腰小脚裤中年女装DMg432,女装,裤子,小脚裤,"{'nr': ['加绒', '加厚'], 'v': ['打底'], 'n': ['裤子', '长裤', '女裤', '腰', '小脚', '裤', '女装'], 't': ['秋冬', '中年'], 'j': ['中老年'], 'a': ['高'], 'eng': ['DMg432']}",[],,加绒高腰DMg
3111,加绒加厚新款韩版立领雪纺衫纯色百搭修身上衣女,女装,上衣,雪纺衫,"{'nr': ['加绒', '加厚'], 'n': ['新款', '纯色', '上衣'], 'nt': ['韩版'], 'v': ['立领', '搭', '修身'], 'nz': ['雪纺衫'], 'm': ['百'], 'b': ['女']}",[],,立领加绒韩版
3112,加绒加厚格子哈伦裤女冬英伦chic宽松复古高腰休闲西裤,女装,裤子,哈伦裤,"{'nr': ['加绒', '加厚'], 'n': ['格子', '裤女', '腰', '西裤'], 'nrt': ['哈伦'], 't': ['冬'], 'ns': ['英伦'], 'eng': ['chic'], 'a': ['宽松', '高'], 'vn': ['复古'], 'v': ['休闲']}",[],,加绒裤女chic
3113,加绒加厚格子衬衫女长袖2018新款秋冬季季英伦加绒韩范冬装上衣女【DB】,女装,上衣,衬衫,"{'nr': ['加绒', '加厚', '加绒韩'], 'n': ['格子', '衬衫', '长袖', '新款', '季', '范', '冬装', '上衣', '女'], 'b': ['女'], 'm': ['2018'], 't': ['秋冬季'], 'ns': ['英伦'], 'eng': ['DB']}",[],,加绒韩范DB
3114,加绒加厚棉衣女装秋冬季短款棉服外套立领唐装小棉袄,女装,外套,棉服,"{'nr': ['加绒', '加厚', '唐装'], 'n': ['棉衣', '女装', '棉服', '外套', '棉袄'], 't': ['秋冬季'], 'b': ['短款'], 'v': ['立领'], 'a': ['小']}",[],,棉服短款立领
3115,加绒加厚毛衣女2018新款宽松大码打底衫中长款保暖针织衫,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'n': ['毛衣', '女', '新款', '大码', '长款', '针织衫'], 'm': ['2018'], 'a': ['宽松'], 'v': ['打底', '保暖'], 'ng': ['衫'], 'f': ['中']}",[],,加绒大码中长款
3116,加绒加厚皮短裤女秋冬2018高腰A字PU百搭外穿大码休闲短裤,女装,裤子,短裤,"{'nr': ['加绒', '加厚'], 'n': ['皮', '短裤', '腰', '字', '大码', '短裤'], 'b': ['女'], 't': ['秋冬'], 'm': ['2018', '百'], 'a': ['高'], 'eng': ['A', 'PU'], 'v': ['搭', '穿', '休闲'], 'f': ['外']}",[],,短裤加绒高腰
3117,加绒加厚皮裤女秋冬大码保暖皮裤PU打底裤新款时尚皮裤,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 'n': ['皮裤', '女', '大码', '皮裤', '底裤', '新款', '时尚', '皮裤'], 't': ['秋冬'], 'v': ['保暖', '打'], 'eng': ['PU']}",[],,皮裤加绒大码
3118,加绒加厚皮裤女秋冬大码保暖皮裤PU打底裤新款时尚皮裤z273,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 'n': ['皮裤', '女', '大码', '皮裤', '底裤', '新款', '时尚', '皮裤'], 't': ['秋冬'], 'v': ['保暖', '打'], 'eng': ['PU', 'z273']}",[],,皮裤加绒大码
3119,加绒加厚秋冬哈伦裤女高腰西装裤大码胖mm小脚休闲长裤子女f361,女装,裤子,哈伦裤,"{'nr': ['加绒', '加厚'], 't': ['秋冬'], 'nrt': ['哈伦'], 'n': ['裤女', '腰', '西装裤', '大码', '胖', '小脚', '长裤', '子女'], 'a': ['高'], 'eng': ['mm', 'f361'], 'v': ['休闲']}",[],,加绒裤女高腰
3120,加绒加厚秋冬外穿女士修身保暖显瘦包臀裙裤弹力假两件打底裤【DM】,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 't': ['秋冬'], 'f': ['外'], 'v': ['穿', '修身', '保暖', '包', '打'], 'n': ['女士', '裙裤', '弹力', '假', '底裤'], 'a': ['显瘦'], 'ng': ['臀'], 'm': ['两件'], 'eng': ['DM']}",[],,裙裤外穿加绒
3121,加绒加厚秋冬外穿女士修身保暖踩脚显瘦包臀裙裤弹力假两件打底裤,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 't': ['秋冬'], 'f': ['外'], 'v': ['穿', '修身', '保暖', '踩', '包', '打'], 'n': ['女士', '脚', '裙裤', '弹力', '假', '底裤'], 'a': ['显瘦'], 'ng': ['臀'], 'm': ['两件']}",[],,裙裤外穿加绒
3122,加绒加厚秋冬外穿红色新娘结婚打底裤女肉色保暖棉裤本命年连裤袜,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 't': ['秋冬'], 'f': ['外'], 'v': ['穿', '结婚', '打', '保暖'], 'n': ['红色', '新娘', '底裤', '肉色', '棉裤', '本命年', '连裤袜'], 'b': ['女']}",[],,外穿加绒连裤袜
3123,加绒加厚秋冬季新款枫叶花色衬衫长袖女装大码上衣雪纺衫衬衣f450,女装,上衣,衬衫,"{'nr': ['加绒', '加厚'], 't': ['秋冬季'], 'n': ['新款', '枫叶', '花色', '衬衫', '长袖', '女装', '大码', '衣雪', '纺衫', '衬衣'], 'f': ['上'], 'eng': ['f450']}",[],,加绒大码纺衫
3124,加绒加厚秋冬慵懒风针织衫开衫女中长款韩版宽松外搭麻花毛衣外套-BMDF,女装,上衣,开衫,"{'nr': ['加绒', '加厚'], 't': ['秋冬'], 'a': ['慵懒', '宽松'], 'n': ['风', '针织衫', '开衫', '中长款', '麻花', '毛衣', '外套'], 'b': ['女'], 'nt': ['韩版'], 'f': ['外'], 'v': ['搭'], 'eng': ['BMDF']}",[],,开衫加绒针织衫
3125,加绒加厚秋冬新款外穿打底裤高腰女加绒长裤加厚韩版弹力韩国女裤子【DB】,女装,裤子,打底裤,"{'nr': ['加绒', '加厚', '加厚'], 't': ['秋冬'], 'n': ['新款', '底裤', '腰', '女加绒', '长裤', '弹力', '裤子'], 'f': ['外'], 'v': ['穿', '打'], 'a': ['高'], 'nt': ['韩版'], 'ns': ['韩国'], 'b': ['女'], 'eng': ['DB']}",[],,加厚外穿加绒
3126,加绒加厚秋冬装女2018新款贵夫人中国风刺绣长袖打底连衣裙c179,女装,连衣裙,连衣裙,"{'nr': ['加绒', '加厚', '秋冬装', '连衣裙'], 'n': ['女', '新款', '夫人', '风', '刺绣', '长袖'], 'm': ['2018'], 'a': ['贵'], 'ns': ['中国'], 'v': ['打底'], 'eng': ['c179']}",[],,秋冬装加绒打底
3127,加绒加厚秋冬装新款大码女装半高领蕾丝长袖打底衫包臂连衣裙,女装,连衣裙,连衣裙,"{'nr': ['加绒', '加厚', '秋冬装', '连衣裙'], 'n': ['新款', '大码', '女装', '高领', '蕾丝', '长袖', '包臂'], 'm': ['半'], 'v': ['打底'], 'ng': ['衫']}",[],,秋冬装加绒大码
3128,加绒加厚秋冬高腰加绒加厚大码宽松女裤子九分休闲裤哈伦裤小脚萝卜裤女,女装,裤子,哈伦裤,"{'nr': ['加绒', '加厚', '加厚'], 't': ['秋冬'], 'a': ['高', '宽松'], 'n': ['腰加绒', '大码', '裤子', '休闲裤', '裤', '小脚', '萝卜', '裤女'], 'b': ['女'], 'm': ['九分'], 'nrt': ['哈伦']}",[],,加绒加厚高腰
3129,加绒加厚网纱亮丝打底衫女 2018秋冬季高领洋气T恤韩范金丝绒上衣,女装,上衣,打底衫,"{'nr': ['加绒', '加厚', '韩范', '金丝绒'], 'n': ['网纱', '亮丝', '女', '高领', '洋气', 'T恤', '上衣'], 'v': ['打底'], 'ng': ['衫'], 'm': ['2018'], 't': ['秋冬季']}",[],,韩范金丝绒加绒
3130,加绒加厚蕾丝打底衫女2019新款韩版百搭高领蕾丝打底衫女长袖大码保暖上衣【DB】g138,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'n': ['蕾丝', '女', '新款', '版', '高领', '蕾丝', '女', '长袖', '大码', '上衣'], 'v': ['打底', '搭', '打底', '保暖'], 'ng': ['衫', '衫'], 'm': ['2019', '百'], 'j': ['韩'], 'eng': ['DBg138']}",[],,蕾丝打底加绒
3131,加绒加厚蕾丝打底衫女装长袖上衣服2018秋季新款韩版修身加绒气质洋气小衫,女装,上衣,打底衫,"{'nr': ['加绒', '加厚', '加绒', '小衫'], 'n': ['蕾丝', '女装', '长袖', '衣服', '新款', '气质', '洋气'], 'v': ['打底', '修身'], 'ng': ['衫'], 'f': ['上'], 'm': ['2018'], 't': ['秋季'], 'nt': ['韩版']}",[],,加绒蕾丝韩版
3132,加绒加厚蕾丝衫女2018秋冬装新款韩版女装上衣长袖打底衫女,女装,上衣,打底衫,"{'nr': ['加绒', '加厚', '秋冬装'], 'n': ['蕾丝', '女', '新款', '女装', '上衣', '长袖', '女'], 'ng': ['衫', '衫'], 'm': ['2018'], 'nt': ['韩版'], 'v': ['打底']}",[],,秋冬装加绒蕾丝
3133,加绒加厚蕾丝衫女装长袖2018秋冬季新款韩版小衫上衣半高领打底衫【DB】A123,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'n': ['蕾丝', '女装', '长袖', '新款', '版', '小衫', '上衣', '高领'], 'ng': ['衫', '衫'], 'm': ['2018', '半'], 't': ['秋冬季'], 'j': ['韩'], 'v': ['打底'], 'eng': ['DBA123']}",[],,加绒蕾丝韩版小衫
3134,加绒加厚蕾丝衫女装长袖2018秋冬季新款韩版小衫上衣半高领打底衫【DB】h491,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'n': ['蕾丝', '女装', '长袖', '新款', '版', '小衫', '上衣', '高领'], 'ng': ['衫', '衫'], 'm': ['2018', '半'], 't': ['秋冬季'], 'j': ['韩'], 'v': ['打底'], 'eng': ['DBh491']}",[],,加绒蕾丝韩版小衫
3135,加绒加厚衬衫女长袖2018新款复古chic衬衫女重工刺绣翻领,女装,上衣,衬衫,"{'nr': ['加绒', '加厚'], 'n': ['衬衫', '长袖', '新款', '衬衫', '刺绣'], 'b': ['女', '女'], 'm': ['2018'], 'vn': ['复古', '重工'], 'eng': ['chic'], 'v': ['翻领']}",[],,衬衫加绒chic
3136,加绒加厚裙裤女假两件2019新款秋冬蕾丝显瘦打底裤裙弹力打底裤裙【DB】,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 'n': ['裙裤', '女假', '新款', '蕾丝', '裤裙', '弹力', '裤裙'], 'm': ['两件', '2019'], 't': ['秋冬'], 'a': ['显瘦'], 'v': ['打底', '打底'], 'eng': ['DB']}",[],,裤裙打底裙裤
3137,加绒加厚裤子女秋冬2018新款休闲哈伦运动卫裤c197,女装,裤子,裤子,"{'nr': ['加绒', '加厚'], 'n': ['裤子', '新款', '卫裤'], 'b': ['女'], 't': ['秋冬'], 'm': ['2018'], 'v': ['休闲'], 'nrt': ['哈伦'], 'vn': ['运动'], 'eng': ['c197']}",[],,加绒卫裤哈伦
3138,加绒加厚裤子新款高腰外穿打底裤小脚铅笔长裤【DM】c138,女装,裤子,打底裤,"{'nr': ['加绒', '加厚'], 'n': ['裤子', '新款', '腰', '底裤', '小脚', '铅笔', '长裤'], 'a': ['高'], 'f': ['外'], 'v': ['穿', '打'], 'eng': ['DMc138']}",[],,加绒高腰DMc
3139,加绒加厚连帽卫衣女秋冬装新款韩版中长款毛内胆百搭外套开衫PNDF-4 f146,女装,上衣,开衫,"{'nr': ['加绒', '加厚', '连帽卫', '秋冬装'], 'n': ['衣女', '新款', '版', '长款', '毛', '内胆', '外套', '开衫'], 'j': ['韩'], 'f': ['中'], 'm': ['百'], 'v': ['搭'], 'eng': ['PNDF4f146']}",[],,秋冬装开衫内胆
3140,加绒加厚连衣裙女2018冬季新款韩版时尚气质修身显瘦长袖打底裙,女装,连衣裙,连衣裙,"{'nr': ['加绒', '加厚', '连衣裙'], 'n': ['女', '新款', '时尚', '气质', '长袖', '裙'], 'm': ['2018'], 't': ['冬季'], 'nt': ['韩版'], 'v': ['修身', '打底'], 'a': ['显瘦']}",[],,加绒韩版显瘦
3141,加绒加厚连衣裙女人味气质2018秋装新款长袖高腰显瘦过膝印花连衣裙,女装,连衣裙,连衣裙,"{'nr': ['加绒', '加厚', '连衣裙', '连衣裙'], 'n': ['女人味', '气质', '秋装', '新款', '长袖', '腰', '印花'], 'm': ['2018'], 'a': ['高', '显瘦'], 'v': ['过膝']}",[],,连衣裙秋装加绒
3142,加绒加厚针织打底衫女网纱透视烫钻刺绣花朵修身打底毛衣,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'n': ['针织', '女网', '刺绣', '花朵', '毛衣'], 'v': ['打底', '透视', '烫', '钻', '修身', '打底'], 'ng': ['衫'], 'zg': ['纱']}",[],,打底加绒女网
3143,加绒加厚铅笔小脚高腰秋冬季2018新款黑色女外穿,女装,裤子,小脚,"{'nr': ['加绒', '加厚'], 'n': ['铅笔', '小脚', '腰', '新款', '黑色'], 'a': ['高'], 't': ['秋冬季'], 'm': ['2018'], 'b': ['女'], 'f': ['外'], 'v': ['穿']}",[],,加绒高腰女外
3144,加绒加厚铅笔小脚高腰秋冬季2018新款黑色女外穿【qh】,女装,裤子,小脚,"{'nr': ['加绒', '加厚'], 'n': ['铅笔', '小脚', '腰', '新款', '黑色'], 'a': ['高'], 't': ['秋冬季'], 'm': ['2018'], 'b': ['女'], 'f': ['外'], 'v': ['穿'], 'eng': ['qh']}",[],,加绒高腰女外
3145,加绒加厚韩国绒显瘦喇叭裤 修身百搭弹力高腰裤 女长裤,女装,裤子,长裤,"{'nr': ['加绒', '加厚'], 'ns': ['韩国'], 'n': ['绒', '喇叭裤', '弹力', '腰', '裤女', '长裤'], 'a': ['显瘦', '高'], 'v': ['修身', '搭'], 'm': ['百']}",[],,喇叭裤加绒绒显
3146,加绒加厚韩版修身牛仔裤女高腰保暖2018冬季弹力显瘦小脚裤,女装,裤子,小脚裤,"{'nr': ['加绒', '加厚'], 'nt': ['韩版'], 'v': ['修身', '保暖', '显'], 'n': ['牛仔裤', '腰', '弹力', '脚裤'], 'b': ['女'], 'a': ['高'], 'm': ['2018'], 't': ['冬季'], 'z': ['瘦小']}",[],,加绒韩版女高腰
3147,加绒加厚韩版大码高腰松紧腰弹力牛仔裤小脚铅笔女裤,女装,裤子,牛仔裤,"{'nr': ['加绒', '加厚'], 'j': ['韩'], 'n': ['版', '大码', '腰', '腰', '弹力', '牛仔裤', '小脚', '铅笔', '女裤'], 'a': ['高', '松紧']}",[],,加绒韩版大码高腰
3148,加绒加厚高领打底衫卫衣女长袖大码宽松胖mm刺绣pn,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'n': ['高领', '衣女', '长袖', '大码', '胖', '刺绣'], 'v': ['打底'], 'nz': ['衫卫'], 'a': ['宽松'], 'eng': ['mm', 'pn']}",[],,加绒卫衣大码
3149,加绒加厚高领打底衫卫衣女长袖大码宽松胖mm刺绣pn Y200,女装,上衣,打底衫,"{'nr': ['加绒', '加厚'], 'n': ['高领', '衣女', '长袖', '大码', '胖', '刺绣'], 'v': ['打底'], 'nz': ['衫卫'], 'a': ['宽松'], 'eng': ['mm', 'pnY200']}",[],,加绒卫衣大码
